"","SimpSubs","IPTW","TMLE"
"1",-0.00583385489280718,-0.0347923893769606,-0.0269224678109978
"2",0.000669875671483275,-0.052332418184782,-0.026894169063979
"3",0,-0.043472393506112,-0.0268754697226848
"4",0,-0.0373694932518461,-0.0268571324338749
"5",0.000113025848133136,-0.050499024335648,-0.0269274440478416
"6",-0.0010384745775765,-0.0308623962441885,-0.0268246460922408
"7",-0.000135901086140645,-0.0420542018379655,-0.0269000365761937
"8",0.00341564644132618,-0.0362813808610269,-0.026913828426071
"9",0.00523572942724153,-0.0486815640236944,-0.0268923183597286
"10",0,-0.0400667520321216,-0.0268076688254693
"11",-0.0023522916808949,-0.0492377519192077,-0.0269297977320048
"12",-0.00619082427346637,-0.0358682849388026,-0.0268953816011284
"13",0,-0.0416526979926404,-0.0269252183944994
"14",-0.00508484532903072,-0.0483991634091175,-0.0269193110921382
"15",0,-0.0399096005504644,-0.0269192001871161
"16",-0.000689768262230983,-0.0559953327166265,-0.0268206225233074
"17",0.00137026653077711,-0.0510503200154176,-0.0268305919224882
"18",0,-0.0392513643647299,-0.0269082422095059
"19",-1.97463557795199e-05,-0.0385734510870527,-0.0268849872384312
"20",-0.00721884823348476,-0.0411134296523705,-0.0268125070063875
"21",0,-0.0375270836803758,-0.0268543341390703
"22",0,-0.0176995735225881,-0.0268959851400925
"23",0,-0.0339445048289092,-0.0268587893291813
"24",0,-0.0306419530224103,-0.0268067059051362
"25",-0.000117609493327839,-0.0628105634822059,-0.0267551008739962
"26",0,-0.0399785227260548,-0.0268039013400448
"27",0,-0.0392035339081403,-0.0268951437867364
"28",-0.00121940862364222,-0.0388632817312035,-0.0268874097512716
"29",0.000436177582157972,-0.0481386091643925,-0.0269232142596065
"30",0,-0.0411369492450573,-0.0268914751117342
"31",0,-0.0396830423762026,-0.0269486488951109
"32",0.000361756937917382,-0.0352215227714632,-0.026956611987378
"33",-0.000298522180077053,-0.0434375871296614,-0.0268907787024112
"34",0,-0.0413844565819598,-0.0268923576020547
"35",0,-0.0377775197811458,-0.0268836730701562
"36",0.00129844861059885,-0.0420720489553179,-0.026991743082862
"37",0.000839334607909116,-0.0383278275916313,-0.0267755294533675
"38",0.00202202878035918,-0.0341419042429754,-0.0268731755587993
"39",0.0101797659002937,-0.0358196888084089,-0.0268178102567039
"40",-0.000353602962463843,-0.0425981503031787,-0.0268920499719806
"41",0,-0.0414617606315151,-0.0268670589748072
"42",0,-0.0243703085830514,-0.0269256948186806
"43",0,-0.0448745322426273,-0.0268746206971038
"44",0,-0.0452586875381259,-0.0269270449172065
"45",0,-0.0406507148842527,-0.0268415594578139
"46",0,-0.0308467910854175,-0.0268177129563997
"47",-0.00366134872115513,-0.04335082361979,-0.0269034576464422
"48",-0.00371656181752829,-0.0448123589854749,-0.0268640902936805
"49",-0.000508707285832921,-0.0373676390143774,-0.0268568287658408
"50",1.55181914820105e-06,-0.029049343835095,-0.0268864681133023
